Area,Bedrooms,Bathrooms,Parking,Age,Location,Price
1120,2,1,0,12,Riverside,20780000
1740,3,2,1,6,Riverside,22930000
1110,2,3,0,7,Riverside,19780000
620,1,1,0,24,Tech Park,10190000
1310,1,2,0,19,Outskirts,8770000
1600,2,1,1,11,Uptown,27600000
730,1,2,0,20,Suburb,7480000
1820,3,3,1,32,Uptown,28530000
880,1,2,0,13,Uptown,16290000
2210,5,4,1,15,Riverside,39740000
1140,2,3,0,19,Outskirts,9690000
580,1,2,0,28,Uptown,7980000
2130,4,3,1,19,City Center,46740000
1360,3,3,1,4,Uptown,24780000
760,2,3,0,11,City Center,16610000
620,2,2,0,12,Suburb,6450000
550,1,2,0,41,Uptown,7410000
780,2,2,0,22,Suburb,9160000
1210,4,3,0,0,Outskirts,12710000
1010,1,1,0,18,Riverside,16380000
720,2,2,0,21,City Center,15960000
650,1,2,0,7,Suburb,8730000
1160,4,3,0,25,Green Valley,16320000
1400,1,1,0,21,Tech Park,18770000
700,1,1,0,0,Suburb,8180000
1250,1,3,0,23,Suburb,10960000
1710,2,1,1,16,City Center,39560000
920,2,2,0,2,Uptown,17580000
1070,1,2,0,16,Uptown,21610000
1960,4,3,1,31,Suburb,20540000
1200,2,2,0,23,City Center,21610000
1340,2,3,0,5,Riverside,24000000
620,1,1,0,0,City Center,16540000
1130,2,2,0,19,Tech Park,16570000
1880,4,4,1,11,Outskirts,14180000
1230,2,2,0,13,Riverside,20750000
840,2,1,0,0,Riverside,15640000
740,1,1,0,8,Green Valley,11180000
1110,1,2,0,30,City Center,21170000
1490,2,1,1,15,Suburb,14550000
1300,2,2,0,21,Green Valley,18830000
1440,3,3,0,33,Green Valley,18260000
880,1,1,0,27,Suburb,9040000
1240,2,2,0,8,Tech Park,21200000
1650,4,3,1,29,Outskirts,13200000
970,1,1,0,20,Riverside,15560000
830,1,1,0,8,Green Valley,13570000
580,1,1,0,12,Green Valley,7580000
1300,2,2,0,12,Green Valley,18060000
680,1,1,0,18,Green Valley,9140000
2480,5,4,1,0,Tech Park,50840000
550,1,1,0,11,Riverside,8630000
1490,2,2,1,4,Green Valley,22780000
1330,2,2,0,22,Green Valley,17490000
1490,2,2,1,14,City Center,36640000
1200,3,3,0,1,Tech Park,22080000
920,2,1,0,10,Uptown,18210000
1070,2,2,0,25,City Center,23030000
780,2,2,0,2,Tech Park,14090000
1450,3,3,0,5,Outskirts,13440000
1370,3,2,0,13,Outskirts,11300000
620,1,1,0,4,Uptown,11520000
1270,1,1,0,14,Riverside,19170000
720,3,2,0,25,City Center,14300000
750,1,2,1,26,Suburb,7630000
1830,3,3,1,4,Suburb,22250000
1510,4,3,1,17,Tech Park,23740000
1540,1,1,1,21,City Center,30640000
1530,3,2,1,0,Green Valley,25590000
1400,2,2,0,17,Tech Park,20240000
1470,2,2,1,8,City Center,37940000
550,1,1,1,16,Outskirts,4800000
1270,2,3,0,9,Green Valley,21190000
1230,2,2,1,20,Tech Park,19810000
1070,2,2,0,29,City Center,23140000
790,2,2,0,19,Outskirts,6340000
1120,2,1,0,2,Riverside,19960000
1330,2,1,0,16,Green Valley,16570000
1690,4,3,0,0,City Center,43300000
1090,3,3,0,14,Suburb,12700000
1260,2,1,0,32,Suburb,9970000
1000,2,2,0,16,City Center,23400000
1600,1,2,1,22,Green Valley,21250000
1010,2,3,0,0,Suburb,11690000
1250,3,3,0,6,Tech Park,20250000
1360,2,2,0,17,City Center,31390000
820,1,1,0,25,City Center,16960000
1170,2,2,0,0,Uptown,23030000
1250,3,3,0,7,Suburb,15760000
1230,4,3,0,0,Tech Park,23630000
1160,4,4,1,29,City Center,28130000
590,1,2,0,17,Outskirts,4190000
1760,3,3,1,5,City Center,46540000
1240,2,2,0,39,Outskirts,7990000
1800,3,3,2,36,Riverside,27530000
1100,1,1,1,9,City Center,28900000
1640,3,3,2,9,Outskirts,14330000
630,1,1,0,23,Green Valley,7730000
1060,2,2,0,7,Uptown,18700000
1210,1,1,0,25,Riverside,19530000
1290,2,2,0,2,City Center,30660000
1560,2,2,1,0,Uptown,29390000
1770,2,3,1,40,Outskirts,13020000
1160,3,2,0,26,Suburb,11030000
1010,1,2,0,33,Green Valley,10800000
550,2,2,0,12,Uptown,10080000
1260,2,2,0,30,Uptown,20060000
1410,2,2,0,21,Tech Park,22220000
850,1,1,0,3,City Center,20190000
1370,3,3,1,6,Tech Park,25200000
1680,2,2,1,21,Green Valley,20120000
870,1,2,0,14,Tech Park,15860000
1100,1,1,0,14,Uptown,19210000
1740,2,3,1,7,City Center,45450000
1150,1,1,0,0,Uptown,20920000
750,1,2,0,7,Tech Park,13230000
550,1,1,0,27,Tech Park,8170000
1260,3,3,0,39,Suburb,10410000
1430,2,2,0,8,Green Valley,19150000
650,1,2,0,27,Outskirts,4860000
1800,3,3,1,28,Suburb,17570000
1280,1,2,0,34,Uptown,15300000
1390,2,3,0,22,Outskirts,9780000
1650,2,3,0,6,Riverside,29980000
1970,3,3,1,13,Tech Park,30310000
1700,3,2,1,23,Outskirts,12720000
1090,2,2,0,12,Riverside,20660000
1600,3,2,2,17,Outskirts,12680000
1620,2,2,0,37,Outskirts,10750000
1750,3,3,1,27,Suburb,13840000
790,1,1,0,21,Tech Park,10690000
940,1,2,0,5,Suburb,10640000
1150,2,3,0,29,Green Valley,13040000
1310,1,1,0,0,Uptown,26320000
1070,1,1,0,19,Uptown,18400000
600,1,1,0,0,Green Valley,9960000
1140,3,3,0,24,Suburb,12160000
1910,3,2,1,14,Green Valley,23930000
920,1,1,0,30,Outskirts,6280000
1430,1,2,0,20,Outskirts,10210000
1300,1,2,0,28,Riverside,20390000
1560,3,4,1,12,Riverside,29050000
1290,1,1,0,2,Tech Park,21090000
1670,2,2,1,4,Riverside,29850000
1370,3,3,0,9,Green Valley,19720000
910,2,1,0,33,Suburb,9990000
550,1,1,0,18,Tech Park,7840000
1270,3,3,0,29,Outskirts,10350000
710,1,2,0,34,Uptown,11530000
1120,2,2,0,4,Tech Park,21230000
570,1,1,1,0,Outskirts,5870000
1740,3,2,1,23,Suburb,18870000
2150,3,3,1,23,Uptown,35690000
1370,2,3,0,15,Green Valley,15500000
550,1,2,0,26,Suburb,5670000
980,3,2,0,4,Green Valley,14560000
660,1,2,1,37,Uptown,9320000
810,2,2,0,19,Riverside,13780000
1460,1,2,1,16,Uptown,22960000
1570,3,3,1,22,Green Valley,21880000
1190,2,1,0,2,Riverside,23720000
1280,2,1,0,12,Riverside,22100000
2060,3,3,1,26,Green Valley,25920000
1090,2,2,0,22,Riverside,15850000
1060,1,2,0,23,Uptown,15590000
1660,2,2,1,26,Riverside,26410000
740,2,2,0,1,Green Valley,11340000
1630,2,2,1,15,Outskirts,12800000
930,1,1,0,32,Riverside,11990000
1200,2,1,0,11,Suburb,13190000
730,1,2,0,27,Uptown,12380000
1440,3,3,0,1,Outskirts,13250000
1380,2,2,0,6,Tech Park,24480000
1480,3,2,1,13,Outskirts,13560000
660,1,2,0,0,Riverside,12610000
1350,3,2,0,22,City Center,28620000
820,2,2,0,22,Outskirts,6830000
1060,3,3,0,18,Green Valley,14820000
1030,2,2,1,22,Uptown,18870000
1200,2,2,0,35,Riverside,15160000
1380,2,3,0,4,Tech Park,25300000
1060,2,1,0,24,Uptown,15960000
920,1,1,0,31,Uptown,12690000
570,2,2,0,4,Uptown,12640000
1570,2,1,1,15,Green Valley,18710000
1200,2,2,0,21,Suburb,12160000
1330,2,2,0,22,Outskirts,10360000
1080,1,1,0,28,Green Valley,14300000
1120,1,2,0,33,Green Valley,11010000
1460,4,3,0,16,Tech Park,23940000
630,1,1,0,19,Suburb,6160000
1460,1,2,1,5,Green Valley,19760000
1560,3,3,1,7,Outskirts,13130000
1200,3,3,0,23,Outskirts,9510000
1170,2,3,0,17,Outskirts,10270000
870,1,2,1,3,City Center,18690000
1330,2,2,0,0,Tech Park,21280000
930,1,2,0,9,Riverside,17520000
1480,1,2,2,8,Outskirts,13920000
550,1,1,0,19,Tech Park,8870000
840,1,1,0,18,Tech Park,11610000
850,2,2,0,7,Tech Park,15370000
1260,2,2,0,24,City Center,24800000
1250,1,2,0,14,Green Valley,19550000
1530,4,3,1,2,Green Valley,24580000
1620,2,2,1,39,Outskirts,9250000
1310,1,1,0,12,Outskirts,9650000
1150,2,2,0,10,City Center,28570000
1150,2,2,0,0,City Center,30870000
890,1,2,0,14,Suburb,9920000
1250,2,2,1,32,Green Valley,16300000
1010,2,2,0,30,Outskirts,8150000
1290,1,1,0,6,Tech Park,24220000
1300,1,2,0,25,Uptown,22040000
1550,1,1,1,30,Suburb,13450000
550,1,2,0,6,Uptown,10930000
850,1,2,0,16,City Center,18830000
1610,4,4,1,19,Suburb,19810000
1590,3,3,1,28,Outskirts,12370000
1610,3,3,2,11,City Center,38840000
1630,2,2,1,21,Green Valley,22080000
1030,1,2,0,29,Tech Park,14150000
2140,4,4,1,30,City Center,38410000
1490,3,3,1,5,Riverside,25120000
1770,3,3,1,23,Riverside,25840000
1120,1,1,1,12,Riverside,19080000
1360,2,1,1,22,Riverside,18060000
1170,1,2,0,5,Tech Park,17860000
1870,4,3,1,17,City Center,39360000
560,2,2,0,16,Uptown,9050000
1370,2,2,0,1,Tech Park,22350000
1420,2,2,0,21,City Center,37280000
1580,2,1,2,4,Outskirts,13340000
1510,2,1,1,13,Tech Park,24590000
1310,2,2,0,0,Uptown,27200000
1730,3,3,0,0,City Center,45680000
800,2,2,0,0,Green Valley,11440000
1060,2,2,0,19,Riverside,16350000
840,2,2,1,26,Uptown,13040000
2080,4,3,1,14,Outskirts,15660000
810,1,1,0,10,City Center,22360000
1290,2,2,1,35,Tech Park,18020000
1200,2,2,0,36,Riverside,17150000
1130,2,2,0,1,Riverside,22180000
1530,4,3,1,9,Riverside,26850000
1050,3,3,0,23,Green Valley,14720000
1180,2,2,0,23,Green Valley,16300000
1630,3,2,1,7,Uptown,30730000
1370,2,2,0,4,Tech Park,23000000
1340,3,3,0,24,Tech Park,18890000
1000,2,2,0,33,Outskirts,7430000
1640,3,3,1,12,Uptown,30620000
1480,3,3,1,15,Uptown,25180000
1430,3,2,1,15,City Center,32470000
550,1,1,0,23,Tech Park,8070000
1140,3,3,0,20,Outskirts,10350000
1080,1,2,0,13,Riverside,18990000
670,1,2,0,20,Outskirts,6650000
990,1,2,0,23,Uptown,15710000
1660,3,3,1,33,Uptown,27220000
1200,1,2,0,8,Riverside,21480000
1390,2,1,0,22,Suburb,13910000
790,1,1,0,13,Uptown,14670000
550,2,2,0,10,Tech Park,9480000
1360,3,2,0,25,Outskirts,9020000
880,2,2,0,16,Riverside,14560000
1140,1,1,0,30,Tech Park,15040000
1010,2,2,0,28,Uptown,16370000
1240,3,2,1,17,Riverside,19880000
2290,2,2,1,0,Riverside,36390000
1800,3,3,1,15,Riverside,34230000
1440,3,3,0,11,Riverside,25180000
1600,2,2,1,20,City Center,34850000
1500,3,2,2,21,Green Valley,19390000
2220,3,3,1,24,Tech Park,31730000
1230,2,2,0,18,Riverside,18440000
1440,3,3,0,17,Uptown,23380000
1470,1,1,0,30,Outskirts,7400000
1000,2,2,0,5,Riverside,17080000
1500,2,2,0,26,Tech Park,21760000
970,2,2,1,38,Outskirts,7400000
1650,2,1,1,13,Tech Park,26940000
1620,4,3,1,24,Tech Park,21580000
700,1,1,0,35,Tech Park,8140000
1500,2,2,0,14,Outskirts,12160000
1140,2,3,0,34,Suburb,10130000
1090,2,3,0,20,Tech Park,16890000
990,2,3,0,0,Outskirts,9950000
1110,1,2,0,34,Outskirts,7580000
570,1,1,0,16,Riverside,8880000
970,2,2,1,28,Tech Park,14630000
1360,4,4,0,14,Riverside,20490000
1440,2,1,0,21,Uptown,23920000
800,3,2,0,25,Green Valley,10520000
1330,4,4,0,34,City Center,28830000
860,2,2,0,12,Tech Park,13360000
1490,3,2,1,14,Riverside,21320000
770,1,2,0,12,Tech Park,12990000
890,2,2,0,31,Suburb,9610000
1300,2,2,0,2,Suburb,14720000
950,1,1,0,0,Uptown,17600000
1660,4,4,1,15,Suburb,20190000
1170,3,3,0,15,Green Valley,14940000
700,1,1,0,21,City Center,14670000
590,3,3,0,12,City Center,15210000
1290,2,2,0,9,Riverside,22250000
1030,2,2,0,39,Tech Park,12600000
550,2,2,0,7,Uptown,10270000
660,1,2,0,15,Outskirts,4860000
1800,3,2,1,15,Suburb,19120000
1140,1,2,0,0,Riverside,20880000
1510,3,3,1,8,Tech Park,27710000
1740,2,1,1,4,Tech Park,28210000
930,2,3,0,22,Suburb,10270000
1250,2,2,0,10,Riverside,20570000
1550,3,4,1,5,Green Valley,24210000
1140,1,1,0,36,Riverside,13390000
1320,3,3,0,0,Riverside,25680000
940,2,2,0,22,Suburb,10080000
1430,1,2,0,39,Green Valley,15350000
1480,3,3,1,27,Outskirts,11110000
1220,1,1,0,24,Suburb,11890000
1430,2,2,0,20,Uptown,24650000
1010,2,2,0,14,City Center,24970000
1500,3,3,1,20,City Center,36080000
1570,3,3,0,23,City Center,35490000
2080,3,3,1,3,Uptown,37940000
1050,1,2,0,25,Uptown,16500000
1710,3,2,1,19,Tech Park,24510000
1500,2,2,1,13,Riverside,24320000
1650,2,2,1,24,Green Valley,22600000
550,2,2,0,18,Green Valley,8040000
1100,2,3,0,22,Outskirts,8200000
1410,3,3,0,13,Tech Park,18190000
1250,1,2,0,26,Green Valley,16040000
1060,2,2,0,12,Riverside,18610000
1690,3,2,1,21,Tech Park,26350000
1620,3,3,1,44,Outskirts,9420000
1810,4,3,1,36,Green Valley,21990000
1600,3,3,1,33,Uptown,26430000
2110,4,2,0,0,City Center,53880000
1550,2,3,1,33,Green Valley,17740000
1590,1,1,2,42,Suburb,11920000
2050,2,3,2,31,Riverside,33260000
1250,1,1,0,19,Tech Park,16640000
780,2,2,0,6,Suburb,9610000
1820,2,3,1,19,Uptown,31160000
1830,3,4,1,21,Suburb,20030000
780,2,2,0,26,Tech Park,10520000
840,2,2,1,10,Green Valley,13490000
750,2,2,0,19,Riverside,10110000
1160,3,3,0,17,Riverside,20440000
1330,1,1,0,18,Tech Park,18570000
1310,1,1,0,23,Suburb,13660000
1080,1,1,0,15,Tech Park,17760000
550,1,2,0,9,Outskirts,5220000
1420,2,3,0,16,Riverside,21040000
1530,3,2,1,7,Tech Park,24670000
1970,3,2,1,13,City Center,44800000
950,2,3,0,36,Outskirts,7170000
970,1,2,0,11,Tech Park,16920000
1250,2,3,0,27,Uptown,17970000
1190,3,3,0,0,Outskirts,11210000
740,1,1,0,31,Green Valley,9530000
1680,3,3,0,19,Uptown,23250000
750,1,2,0,38,Green Valley,8710000
650,1,1,1,27,City Center,12370000
930,2,2,0,11,Uptown,16480000
1660,2,3,1,13,Tech Park,24080000
1210,2,2,1,0,Green Valley,17460000
1380,4,3,0,15,Uptown,26110000
1090,1,2,0,10,Outskirts,9020000
1730,3,2,1,32,Riverside,25300000
550,1,2,0,8,Tech Park,9300000
810,1,1,0,37,Uptown,11660000
1400,3,3,0,23,Green Valley,17180000
920,2,1,0,14,Outskirts,7310000
1160,2,1,0,24,City Center,26210000
1860,2,2,1,7,Suburb,22530000
1460,2,2,2,33,Uptown,25320000
1140,1,2,0,10,City Center,26000000
1690,3,2,0,24,City Center,38570000
1550,3,3,2,0,Uptown,32410000
1420,2,2,0,0,Green Valley,21950000
1710,2,2,1,24,Tech Park,27180000
880,1,1,0,11,City Center,19060000
1030,3,2,1,26,Uptown,17520000
1260,2,2,0,10,Tech Park,19510000
1310,3,3,1,3,City Center,34090000
